Well,Date,Oil,Gas,Water,InjGas,InjWtr
SCU_32B-09,12/1/2014,49,56,2289,,
SCU_32B-09,1/1/2016,49,587,1290,,
SCU_21A-09,4/1/2005,50,456,3593,,
SCU_33-05,5/1/2006,50,13,93,,
SCU_34-09,8/1/2006,50,,2686,,
SCU_343-33,11/1/2008,50,,,,
SCU_33-05,8/1/2013,50,30,490,,
SCU_41A-04,12/1/2014,50,19,1475,,
SRU_34-10,8/1/1984,51,648,1013,,
SCU_34-09,10/1/1992,51,3844,6,,
SCU_341-04,3/1/2000,51,187765,5628,,
SCU_31-08,8/1/2001,51,3623,121,,
SCU_33-05,9/1/2006,51,,170,,
SCU_14-34,1/1/2009,51,6,517,,
SRU_23-33,1/1/2009,51,624,37,,
SCU_314-03,10/1/1986,52,292,2,,
SRU_23-15,7/1/1996,52,1110,1534,,
SCU_24-09,6/1/1997,52,20889,5006,,
SCU_24A-09,6/1/1997,52,20889,5006,,
SCU_34-09,10/1/2003,52,99,905,,
SRU_32A-15,9/1/2004,52,906,277,,
SCU_343-33,2/1/2009,52,,,,
SCU_42-05,1/1/1978,53,,,,
SRU_34-28,6/1/1994,53,3,3564,,
SCU_42-04,2/1/2001,53,216555,7,,
SRU_14A-33,9/1/2005,53,81,,,
SRU_23-33,11/1/2007,53,76,40,,
SRU_23-33,8/1/2008,53,,31,,
SRU_14A-33,8/1/2017,53,,,,
SCU_12A-10,9/1/1989,54,6623,6,,
SRU_23-33,5/1/2009,54,,30,,
SCU_32B-09,1/1/2015,54,53,2587,,
SCU_21B-16,6/1/1998,55,1158,1051,,
SCU_21A-09,9/1/2004,55,4192,3146,,
SCU_33-05,4/1/2006,55,67,86,,
SCU_33-05,4/1/2007,55,,163,,
SCU_32B-09,3/1/2015,55,4,1617,,
SCU_21-03,12/1/1998,56,73,133,,
SCU_13-04,1/1/2001,56,68952,66,,
SCU_43A-05,1/1/2001,56,68952,66,,
SCU_34-09,12/1/2001,56,179,1533,,
SCU_34-04,7/1/2012,56,5610,4032,,
SRU_21-27,9/1/1990,57,524,1369,,
SCU_24-09,8/1/2001,57,75,6924,,
SCU_24A-09,8/1/2001,57,75,6924,,
SCU_21B-16,4/1/2002,57,3645,643,,
SRU_23-33,3/1/2008,57,20,49,,
SCU_31-08,9/1/2017,57,267,538,,
SRU_12-34,11/1/1971,58,31,5800,,
SRU_23-15,3/1/1990,58,806,1106,,
SCU_21B-16,5/1/1998,58,948,1055,,
SCU_314-04,1/1/2004,58,49081,32,,
SRU_14-22,7/1/1989,59,236,1431,,
SCU_314-03,6/1/1996,59,284055,10,,
SCU_23A-09,8/1/2000,59,42158,84,,
SRU_21-27,1/1/2006,59,2759,903,,
SRU_21A-34,8/1/2009,59,18,2353,,
SRU_14-22,9/1/1981,60,17154,2198,,
SCU_12A-04,1/1/1992,60,12291,3,,
SRU_34-28,4/1/1994,60,4,4194,,
SCU_34-09,9/1/2000,60,21,1531,,
SCU_314-04,12/1/2003,60,62579,31,,
SCU_33-05,12/1/2003,60,7756,310,,
SCU_33-05,3/1/2007,60,2397,221,,
SCU_24A-09,12/1/2014,60,29,3284,,
SRU_31-15,6/1/1977,61,,464,,
SCU_23B-03,8/1/1990,61,10142,3,,
SRU_23-15,2/1/1996,61,517,1085,,
SCU_13-09,11/1/1997,61,4,,,
SCU_33-05,8/1/2003,61,9627,263,,
SCU_33-05,11/1/2006,61,33,185,,
SCU_12A-04,5/1/2007,61,,,,
SCU_24A-09,8/1/2014,61,337,3177,,
SCU_24-09,12/1/2014,61,29,3284,,
SRU_331-27,1/1/1960,62,4,55,,
SRU_14-22,3/1/1969,62,27,51,,
SRU_12-34,7/1/1974,62,,7764,,
SCU_21A-04,6/1/2002,62,108685,341,,
SRU_23-33,2/1/2008,62,52,74,,
SCU_22-04,11/1/2013,62,,689,,
SRU_14A-33,10/1/2005,63,8,,,
SRU_23-33,5/1/2008,63,5,43,,
SCU_22-04,10/1/2013,63,251,899,,
SCU_24-09,8/1/2014,63,337,3177,,
SCU_24A-09,3/1/2015,63,846,2827,,
SRU_14-15,11/1/1962,64,103,7,,
SCU_41A-09,6/1/1984,64,393,55,,
SRU_23-15,4/1/1996,64,2129,4045,,
SCU_21A-04,1/1/2003,64,66998,425,,
SCU_33-05,10/1/2013,64,157,686,,
SCU_24-09,3/1/2015,64,846,2827,,
SCU_13-04,4/1/1997,65,1845,,,
SCU_43A-05,4/1/1997,65,1845,,,
SCU_13-04,12/1/2000,65,51514,71,,
SCU_43A-05,12/1/2000,65,51514,71,,
SCU_21B-16,6/1/2002,65,257,248,,
SRU_23-33,2/1/2007,65,3,67,,
SCU_22-04,4/1/2013,65,91,325,,
SRU_14-15,6/1/1963,66,,210,,
SCU_12A-04,7/1/1991,66,9972,3,,
SCU_13-09,5/1/1998,66,103,,,
SCU_341-04,11/1/1999,66,121669,3839,,
SCU_21A-04,3/1/2002,66,115108,299,,
SCU_33-05,11/1/2004,66,5654,355,,
SCU_14-34,12/1/2008,66,,478,,
SCU_24A-09,5/1/2014,66,1083,7096,,
SRU_12-15,12/1/1962,67,22,1,,
SCU_12A-04,9/1/1993,67,12181,5,,
SCU_341-04,12/1/1999,67,144196,3937,,
SCU_33-05,9/1/2003,67,9848,309,,
SRU_21-22,10/1/1981,68,258,322,,
SCU_12A-10,5/1/1988,68,7797,3,,
SCU_33-05,10/1/2004,68,3249,289,,
SCU_21A-09,2/1/2005,68,1053,3880,,
SCU_14-34,2/1/2009,68,3,403,,
SCU_24-09,5/1/2014,68,1083,7096,,
SRU_14-33,2/1/1972,69,31,6831,,
SRU_43A-15,5/1/1981,69,3870,222,,
SCU_12A-04,11/1/1993,69,12376,5,,
SCU_21A-09,3/1/2005,69,256,3976,,
SCU_12A-04,11/1/2007,69,,,,
SCU_14-34,5/1/2009,69,,426,,
SCU_21-08,4/1/1991,70,8867,125,,
SCU_42B-05,1/1/2005,70,783,550,,
SCU_42B-05,2/1/2005,70,513,543,,
SCU_332-04,7/1/2016,70,529,,,
SRU_14A-33,8/1/2016,70,12,281,,
SCU_34-09,9/1/1992,71,22328,16,,
SCU_34-09,12/1/1995,71,15816,2,,
SCU_21A-09,1/1/2005,71,2198,3978,,
SCU_33-05,1/1/2005,71,4190,334,,
SRU_23-33,6/1/2008,71,,39,,
SCU_332-04,5/1/2014,71,100,,,
SCU_21A-04,1/1/1988,72,12213,15,,
SRU_34-28,2/1/1992,72,945,13961,,
SCU_21-08,4/1/1994,72,13836,239,,
SCU_42-04,11/1/2000,72,135031,26,,
SCU_21A-04,11/1/2002,72,114382,359,,
SCU_21A-09,11/1/2004,72,2961,3553,,
SRU_23-33,6/1/2009,72,,29,,
